number,value,datetime_start,datetime_complete,duration,params_epsilon,params_k,params_lr,params_n_epochs,params_proportion,params_samples,params_wd,state
0,0.8811509383464695,2026-08-02 20:41:08.683647,2026-08-02 20:44:49.460453,0 days 00:03:40.776806,0.3660515335854786,93,0.002281167485681001,250,2,MIXED,0.01476343771074142,COMPLETE
1,0.8880203655671391,2026-08-02 20:44:49.523225,2026-08-02 20:45:48.208020,0 days 00:00:58.684795,0.1353982885353253,59,0.0016943642458979154,225,1,SUBSPACE,0.027713354390133626,COMPLETE
2,0.8144295916827727,2026-08-02 20:45:48.275622,2026-08-02 20:49:14.289387,0 days 00:03:26.013765,0.24751720505560543,86,0.026356970435992628,250,2,MIXED,0.6668829342382537,COMPLETE
3,0.883427425438817,2026-08-02 20:49:14.358750,2026-08-02 20:49:48.655777,0 days 00:00:34.297027,0.3324791783025361,23,0.008442123802485935,225,1,UNIFORM,0.008214380427751513,COMPLETE
4,0.8884070023925678,2026-08-02 20:49:48.718599,2026-08-02 20:50:09.416440,0 days 00:00:20.697841,0.16069334497735088,25,0.0027108160847900417,75,2,UNIFORM,0.4765928163155595,COMPLETE
5,0.8800125825364096,2026-08-02 20:50:09.479082,2026-08-02 20:53:00.200809,0 days 00:02:50.721727,0.08987234528249519,136,0.037377310329363846,200,1,SUBSPACE,0.1637283697057387,COMPLETE
6,0.8911047035874149,2026-08-02 20:53:00.263899,2026-08-02 20:55:10.817000,0 days 00:02:10.553101,0.07069115155698626,98,0.017000681801169464,200,1,MIXED,0.7016532513549357,COMPLETE
7,0.8869179342007888,2026-08-02 20:55:10.879608,2026-08-02 20:55:51.696413,0 days 00:00:40.816805,0.1982118667365726,24,0.00012922628152774743,150,2,MIXED,0.0004985200134952847,COMPLETE
8,0.8836391551289328,2026-08-02 20:55:51.799562,2026-08-02 20:57:17.821366,0 days 00:01:26.021804,0.14191753444830602,70,0.001876980219849124,175,1,UNIFORM,0.0011292163044994239,COMPLETE
9,0.8866231292345936,2026-08-02 20:57:17.884051,2026-08-02 20:57:31.347042,0 days 00:00:13.462991,0.48790344490591686,30,0.0031024288227061185,75,1,MIXED,0.0029471125596792465,COMPLETE
10,0.888494568224111,2026-08-02 20:57:31.409688,2026-08-02 20:58:19.727038,0 days 00:00:48.317350,0.020857664635959623,7,0.0001470974178222028,300,2,MIXED,0.00010254881785987903,COMPLETE
11,0.8890188405745036,2026-08-02 20:58:19.781107,2026-08-02 20:59:05.151698,0 days 00:00:45.370591,0.022795211103365215,5,0.00012743244238860694,300,2,MIXED,0.00011674832354952176,COMPLETE
12,0.8891434534886227,2026-08-02 20:59:05.216860,2026-08-02 20:59:36.295340,0 days 00:00:31.078480,0.018818250299811927,5,0.00037819112453006367,300,1,MIXED,0.00010135148803833408,COMPLETE
13,0.8874303065792026,2026-08-02 20:59:36.373690,2026-08-02 20:59:49.065265,0 days 00:00:12.691575,0.07244181790320466,11,0.0005793182382424497,100,1,MIXED,0.0925856112835083,COMPLETE
14,0.8867190025937448,2026-08-02 20:59:49.144029,2026-08-02 21:00:08.079779,0 days 00:00:18.935750,0.06616392789075656,13,0.012321404170357448,150,1,MIXED,0.04927648725114828,COMPLETE
15,0.8881077068709091,2026-08-02 21:00:08.142596,2026-08-02 21:01:17.904235,0 days 00:01:09.761639,0.09033082202673717,43,0.0004764231807821211,275,1,SUBSPACE,0.0038065833001435364,COMPLETE
16,0.8920232467075248,2026-08-02 21:01:17.968864,2026-08-02 21:01:33.757731,0 days 00:00:15.788867,0.2148713953268988,14,0.09730580688096313,125,1,MIXED,0.00035766673051521345,COMPLETE
17,0.8818319310825471,2026-08-02 21:01:33.825405,2026-08-02 21:01:49.561641,0 days 00:00:15.736236,0.25681334916292375,14,0.09659450568688238,125,1,MIXED,0.00042672976013364227,COMPLETE
18,0.7057042627944906,2026-08-02 21:01:49.624274,2026-08-02 21:02:33.339815,0 days 00:00:43.715541,0.33229150372463867,138,0.09393610349746763,50,1,UNIFORM,0.18860719731193873,COMPLETE
19,0.8739418006049677,2026-08-02 21:02:33.407715,2026-08-02 21:02:52.272374,0 days 00:00:18.864659,0.22736411333875053,8,0.03918109514985063,175,1,SUBSPACE,0.0020986754212625925,COMPLETE
20,0.8951360997549952,2026-08-02 21:02:52.350855,2026-08-02 21:03:24.054986,0 days 00:00:31.704131,0.4723278963892103,45,0.011446494410654779,125,1,MIXED,0.00039735001748631045,COMPLETE
21,0.8812461381223011,2026-08-02 21:03:24.117804,2026-08-02 21:03:55.962426,0 days 00:00:31.844622,0.49085821528025575,43,0.009945935534127384,125,1,MIXED,0.0003366151112641226,COMPLETE
22,0.8855375374512326,2026-08-02 21:03:56.025064,2026-08-02 21:04:25.068723,0 days 00:00:29.043659,0.41196815156593797,38,0.01644049936852422,125,1,MIXED,0.0010707818612762225,COMPLETE
23,0.8854908356744096,2026-08-02 21:04:25.131408,2026-08-02 21:04:49.355283,0 days 00:00:24.223875,0.42802083772590227,18,0.00485602929571509,175,1,MIXED,0.0002274912707806601,COMPLETE
24,0.5,2026-08-02 21:04:49.417939,2026-08-02 21:05:53.995921,0 days 00:01:04.577982,0.3196396876999559,60,0.05711072728617728,150,1,MIXED,0.006442246339986088,COMPLETE
25,0.897827514172193,2026-08-02 21:05:54.047294,2026-08-02 21:06:52.841301,0 days 00:00:58.794007,0.1857537893695545,89,0.020254048314594285,100,1,MIXED,0.0011532698732502457,COMPLETE
